Categorias,Total Numero,Total Porcentajes,Servicio publico Numero,Servicio publico Porcentajes,Servicio privado colectivo Numero,Servicio privado colectivo Porcentajes,Planta propia Numero,Planta propia Porcentajes,Energia solar Numero,Energia solar Porcentajes,Vela Numero,Vela Porcentajes,Candil o lampara de gas Numero,Candil o lampara de gas Porcentajes,Ocote Numero,Ocote Porcentajes,Otro Numero,Otro Porcentajes
Total Nacional,"1,972,520",100,"1,744,584",88.4,"3,607",0.2,"5,650",0.3,"53,915",2.7,"42,316",2.1,"55,191",2.8,"49,549",2.5,"17,709",0.9
Urbano,"1,117,412",56.6,"1,106,120",63.4,"1,639",45.4, -   , -   , -   , -   ,"7,487",17.7,"1,444",2.6,722,1.5, -   , -   
Distrito Central,"288,210",14.6,"287,138",16.5, -   , -   , -   , -   , -   , -   ,"1,072",2.5, -   , -   , -   , -   , -   , -   
San Pedro Sula,"181,536",9.2,"180,919",10.4,412,11.4, -   , -   , -   , -   ,206,0.5, -   , -   , -   , -   , -   , -   
Resto Urbano,"647,666",32.8,"638,063",36.6,"1,227",34, -   , -   , -   , -   ,"6,210",14.7,"1,444",2.6,722,1.5, -   , -   
Rural,"855,108",43.4,"638,464",36.6,"1,968",54.6,"5,650",100,"53,915",100,"34,828",82.3,"53,746",97.4,"48,827",98.5,"17,709",100
Sin Nivel,"279,661",14.2,"208,174",11.9,843,23.4,"1,743",30.8,"14,955",27.7,"9,269",21.9,"18,600",33.7,"19,556",39.5,"6,522",36.8
Primaria,"1,096,382",55.6,"948,982",54.4,"1,688",46.8,"3,907",69.2,"36,515",67.7,"31,200",73.7,"34,848",63.1,"28,335",57.2,"10,907",61.6
Secundaria,"421,315",21.4,"413,670",23.7,"1,075",29.8, -   , -   ,"2,164",4,"1,565",3.7,"1,462",2.6,"1,096",2.2,281,1.6
Superior,"166,511",8.4,"166,511",9.5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Ns / Nr,"8,651",0.4,"7,246",0.4, -   , -   , -   , -   ,281,0.5,281,0.7,281,0.5,562,1.1, -   , -   
Hombre,"1,307,798",66.3,"1,137,522",65.2,"2,633",73,"4,807",85.1,"42,502",78.8,"28,287",66.8,"40,329",73.1,"36,595",73.9,"15,123",85.4
Mujer,"664,722",33.7,"607,062",34.8,974,27,843,14.9,"11,413",21.2,"14,028",33.2,"14,861",26.9,"12,954",26.1,"2,586",14.6
Quintil 1,"387,549",19.6,"269,880",15.5,281,7.8,"2,727",48.3,"17,850",33.1,"23,710",56,"31,025",56.2,"32,575",65.7,"9,501",53.7
Quintil 2,"390,815",19.8,"325,455",18.7,"1,124",31.2,562,10,"20,689",38.4,"10,362",24.5,"15,142",27.4,"13,713",27.7,"3,767",21.3
Quintil 3,"392,913",19.9,"365,770",21,"1,509",41.8,"1,462",25.9,"7,421",13.8,"6,155",14.5,"6,437",11.7,"2,642",5.3,"1,518",8.6
Quintil 4,"393,871",20,"380,182",21.8,693,19.2,900,15.9,"5,678",10.5,"1,471",3.5,"1,968",3.6,337,0.7,"2,642",14.9
Quintil 5,"397,801",20.2,"393,725",22.6, -   , -   , -   , -   ,"2,277",4.2,618,1.5,618,1.1,281,0.6,281,1.6
No Declaran Ingresos,"9,571",0.5,"9,571",0.5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
