categorias, Población total Numero, Población total Porcentajes,Total acceso Numero,Total acceso Porcentajes,Al menos una vez por día Numero,Al menos una vez por día Porcentajes,Al menos 1 vez por semana pero no todos los días Numero,Al menos 1 vez por semana pero no todos los días Porcentajes,Al menos 1 vez por mes pero no todas las semanas Numero,Al menos 1 vez por mes pero no todas las semanas Porcentajes,Menos de una vez por mes Numero,Menos de una vez por mes Porcentajes,En Casa Numero,En Casa Porcentajes,Cyber-café o negocio de internet Numero,Cyber-café o negocio de internet Porcentajes,En su trabajo Numero,En su trabajo Porcentajes,En la escuela  colegio o universidad Numero,En la escuela  colegio o universidad Porcentajes,Casa de un familiar / amigo Numero ,Casa de un familiar / amigo Porcentajes,Restaurante o local con red inalambrica Numero ,Restaurante o local con red inalambrica Porcentajes,Celular Numero,Celular Porcentajes,Red publica (parque u otro lugar) Numero,Red publica (parque u otro lugar) Porcentajes,Otro Numero,Otro Porcentajes
Total Nacional 2/,7906527,100,2509199,32,1556830,62,797543,32,129839,5,24987,1,2222394,89,252504,10,393396,16,272885,11,400468,16,256605,10,1962095,78,148908,6,179888,7
Urbano,4333657,55,2040769,81,1360196,87,581745,73,83558,64,15270,61,1830172,82,202546,80,344724,88,240477,88,326383,82,227575,89,1566136,80,111148,75,125385,70
Distrito Central,1145651,14,610620,24,432466,28,155359,19,18919,15,3876,16,554038,25,58487,23,124222,32,91113,33,109551,27,87391,34,445998,23,28269,19,46641,26
San Pedro Sula,672572,9,364430,15,253886,16,95837,12,14495,11,212,1,327864,15,31826,13,80009,20,54933,20,37751,9,34471,13,260383,13,15088,10,2137,1
Resto Urbano,2515433,32,1065719,42,673844,43,330549,41,50144,39,11183,45,948269,43,112234,44,140493,36,94430,35,179081,45,105713,41,859755,44,67791,46,76607,43
Rural,3572870,45,468430,19,196634,13,215798,27,46281,36,9717,39,392222,18,49958,20,48673,12,32409,12,74085,18,29030,11,395959,20,37760,25,54503,30
Menores de 15,1874960,24,334402,13,172889,11,136299,17,21324,16,3889,16,245540,11,80695,32,657,0,46143,17,42463,11,16736,7,149596,8,9175,6,8689,5
De 15 a 29,2570059,33,1305161,52,835998,54,402799,51,57152,44,9212,37,1171468,53,149716,59,163167,41,209060,77,250374,63,155020,60,1091380,56,102706,69,113261,63
De 30 a 44,1586516,20,563573,22,338969,22,181669,23,35166,27,7770,31,513911,23,15950,6,146860,37,15025,6,77188,19,56771,22,479178,24,24768,17,43761,24
De 45 a 59,1022720,13,237291,9,160275,10,62147,8,12067,9,2802,11,225164,10,3921,2,72138,18,2658,1,21677,5,23732,9,199603,10,10741,7,13045,7
De 60  o más,852272,11,68772,3,48699,3,14630,2,4129,3,1314,5,66310,3,2222,1,10573,3,0,0,8766,2,4346,2,42338,2,1518,1,1130,1
Hombre,3757279,48,1141093,45,712049,46,363670,46,54603,42,10772,43,997381,45,118891,47,235523,60,128082,47,192623,48,131274,51,874082,45,74871,50,95268,53
Mujer,4149248,52,1368106,55,844781,54,433873,54,75236,58,14215,57,1225013,55,133614,53,157874,40,144804,53,207845,52,125332,49,1088013,55,74037,50,84620,47
Sin Nivel,918586,12,51316,2,29735,2,16798,2,3568,3,1214,5,43090,2,10346,4,3607,1,7882,3,5440,1,4148,2,32319,2,2287,2,2946,2
Primaria,4417725,56,753959,30,372098,24,304078,38,63063,49,14720,59,651166,29,71868,28,51663,13,41405,15,93695,23,40080,16,588641,30,43128,29,52145,29
Secundaria,1953099,25,1165134,46,699852,45,402530,50,56223,43,6529,26,1023335,46,126799,50,162230,41,94261,35,193476,48,116114,45,951769,49,73249,49,93216,52
Superior,585190,7,526748,21,447460,29,71431,9,6543,5,1314,5,493358,22,43192,17,171328,44,129338,47,106504,27,94031,37,378831,19,29990,20,31029,17
" No sabe, no responde ",31927,0,12043,0,7685,0,2706,0,442,0,1210,5,11445,1,299,0,4568,1,0,0,1353,0,2233,1,10535,1,254,0,553,0
Quintil 1,1745862,22,129476,5,46597,3,63418,8,15722,12,3739,15,105090,5,21548,9,5469,1,11184,4,19724,5,5572,2,107841,5,10200,7,14174,8
Quintil 2,1613519,20,280897,11,109243,7,133042,17,32528,25,6084,24,226239,10,39374,16,11476,3,22135,8,55102,14,19978,8,234750,12,19102,13,35420,20
Quintil 3,1641644,21,497835,20,256832,16,205732,26,30204,23,5067,20,415435,19,73586,29,40570,10,49579,18,77757,19,39324,15,403757,21,32975,22,44824,25
Quintil 4,1513162,19,680920,27,420962,27,225287,28,28991,22,5680,23,607330,27,67933,27,97898,25,59070,22,91411,23,57460,22,561492,29,35561,24,46040,26
Quintil 5,1365010,17,909716,36,715276,46,167891,21,22132,17,4417,18,859307,39,48876,19,236131,60,130365,48,154347,39,132374,52,645612,33,50049,34,39431,22
No Declaran Ingresos,27331,0,10355,0,7919,1,2173,0,263,0,0,0,8993,0,1187,0,1852,0,553,0,2126,1,1897,1,8644,0,1021,1,0,0
