Categorias,Total Numero,Total Porcentajes,Servicio publico Numero,Servicio publico Porcentajes,Servicio privado colectivo Numero,Servicio privado colectivo Porcentajes,Planta propia Numero,Planta propia Porcentajes,Energia solar Numero,Energia solar Porcentajes,Vela Numero,Vela Porcentajes,Candil o lampara de gas Numero,Candil o lampara de gas Porcentajes,Ocote Numero,Ocote Porcentajes,Otro Numero,Otro Porcentajes
Total Nacional/2,2037114,100,1789179,88,2833,0,2810,0,56624,3,49135,2,68680,3,48792,2,19059,1
Urbano,1150960,56,1140917,64,741,26,0,0,1105,2,6113,12,1621,2,0,0,463,2
Distrito Central,291668,14,291449,16,0,0,0,0,0,0,219,0,0,0,0,0,0,0
San Pedro Sula,189177,9,188436,11,741,26,0,0,0,0,0,0,0,0,0,0,0,0
Resto Urbano,670115,33,661032,37,0,0,0,0,1105,2,5894,12,1621,2,0,0,463,2
Rural,886154,44,648262,36,2093,74,2810,100,55519,98,43022,88,67060,98,48792,100,18596,98
Sin Nivel,299589,15,217214,12,616,22,957,34,14799,26,14969,30,23111,34,20330,42,7594,40
Primaria,1171797,58,1015683,57,2217,78,1854,66,38462,68,30400,62,44673,65,28163,58,10344,54
Secundaria,408161,20,401345,22,0,0,0,0,1854,3,3108,6,897,1,299,1,658,3
Superior,145720,7,143388,8,0,0,0,0,1210,2,658,1,0,0,0,0,463,2
Ns / Nr,11848,1,11549,1,0,0,0,0,299,1,0,0,0,0,0,0,0,0
Hombre,1372616,67,1184771,66,2235,79,1854,66,44397,78,34487,70,52656,77,38807,80,13409,70
Mujer,664499,33,604408,34,598,21,957,34,12227,22,14648,30,16025,23,9986,20,5651,30
Quintil 1,403646,20,273227,15,897,32,1854,66,26100,46,21261,43,38511,56,33156,68,8640,45
Quintil 2,401933,20,337296,19,299,11,0,0,13109,23,15388,31,17992,26,10703,22,7145,37
Quintil 3,407171,20,376175,21,616,22,299,11,9717,17,7618,16,7095,10,3139,6,2511,13
Quintil 4,406106,20,393041,22,722,25,299,11,3811,7,3044,6,3528,5,897,2,762,4
Quintil 5,407984,20,400121,22,299,11,359,13,3887,7,1465,3,1256,2,598,1,0,0
No Declaran Ingresos,10275,1,9318,1,0,0,0,0,0,0,359,1,299,0,299,1,0,0
