categorias, Total Hogares Numeros, Total Hogares Porcentajes,Hogares que poseen Radio Locucion Numero,Hogares que poseen Radio Locucion Porcentajes,Hogares que poseen Televisor Numero,Hogares que poseen Televisor Porcentajes,Hogares que poseen Computadora Numero,Hogares que poseen Computadora Porcentajes,Hogares que poseen Telefono celular Numero,Hogares que poseen Telefono celular Porcentajes,Hogares que poseen Telefono fijo Total Numero,Hogares que poseen Telefono fijo Total Porcentajes,Hogares que poseen Telefono fijo Publico Numero,Hogares que poseen Telefono fijo Publico Porcentajes,Hogares que poseen Telefono fijo Privado Numero,Hogares que poseen Telefono fijo Privado Porcentajes
Total Nacional 2/,2060165,100,1213820,59,1561851,76,353022,17,1867238,91,243740,12,226761,11,42631,2
Urbano,1162381,56,689333,57,1072911,69,304110,86,1108326,59,226310,93,218151,96,30462,71
Distrito Central,295215,14,195496,16,283588,18,102697,29,283851,15,107317,44,103091,45,13861,33
San Pedro Sula,189706,9,103751,9,179633,12,57896,16,183315,10,32714,13,27742,12,7385,17
Resto Urbano,677460,33,390085,32,609690,39,143517,41,641160,34,86278,35,87318,39,9217,22
Rural,897784,44,524487,43,488940,31,48912,14,758912,41,17430,7,8610,4,12168,29
De 15 - 29 Años,274775,13,132968,11,200143,13,41856,12,245977,13,4423,2,4890,2,1496,4
De 30 - 44 Años,661952,32,396557,33,513917,33,102100,29,612060,33,46889,19,40374,18,12811,30
De 45 - 59 Años,568948,28,351330,29,441352,28,122364,35,533060,29,81606,33,70997,31,15771,37
60 Años y mas,554491,27,332966,27,406439,26,86701,25,476142,25,110822,45,110501,49,12553,29
Hombre,1390929,68,837519,69,1029450,66,223102,63,1258302,67,143294,59,130413,58,26682,63
Mujer,669237,32,376301,31,532401,34,129919,37,608936,33,100446,41,96349,42,15948,37
Sin Nivel,301885,15,164517,14,154457,10,9602,3,231517,12,13256,5,12061,5,2122,5
Primaria,1185437,58,703108,58,875659,56,110985,31,1073639,57,93761,38,84511,37,19699,46
Secundaria,414619,20,241269,20,381687,24,124826,35,406486,22,80438,33,75725,33,12598,30
Superior,146377,7,97546,8,140013,9,106613,30,143748,8,55898,23,54078,24,7825,18
 No sabe  no responde ,11848,1,7380,1,10036,1,995,0,11848,1,386,0,386,0,386,1
Quintil 1,409914,20,222339,18,190355,12,8221,2,325680,17,10090,4,8157,4,2319,5
Quintil 2,409894,20,235624,19,277062,18,17212,5,360329,19,19332,8,14958,7,5709,13
Quintil 3,409976,20,233214,19,336070,22,44923,13,380591,20,34385,14,30131,13,8966,21
Quintil 4,410118,20,246070,20,368111,24,83624,24,389057,21,51499,21,48494,21,8549,20
Quintil 5,409989,20,273123,23,382647,24,197964,56,402455,22,126815,52,123403,54,17088,40
No Declaran Ingresos,10275,0,3449,0,7607,0,1078,0,9126,0,1618,1,1618,1,0,0
