categorias, Total Hogares Numero, Total Hogares Porcentajes,Hogares que poseen Radio Locucion Numero,Hogares que poseen Radio Locucion Porcentajes,Hogares que poseen Televisor Numero,Hogares que poseen Televisor Porcentajes,Hogares que poseen Computadora Numero,Hogares que poseen Computadora Porcentajes,Hogares que poseen Telefono celular Numero,Hogares que poseen Telefono celular Porcentajes,Hogares que poseen Telefono fijo Total Numero,Hogares que poseen Telefono fijo Total Porcentajes,Hogares que poseen Telefono fijo Publico Numero,Hogares que poseen Telefono fijo Publico Porcentajes,Hogares que poseen Telefono fijo Privado Numero,Hogares que poseen Telefono fijo Privado Porcentajes
Total Nacional,2152827,100,1207517,56,1598982,74,360735,17,2128168,99,282901,13,251997,12,54718,3
Urbano,1219041,57,691829,57,1100750,69,313602,87,1207251,57,264984,94,241529,96,44805,82
Distrito Central,258490,12,164531,14,246414,15,97356,27,256027,12,107006,38,95975,38,23387,43
San Pedro Sula,152971,7,86192,7,146708,9,49400,14,151167,7,33349,12,28528,11,7116,13
Resto Urbano,807580,38,441106,37,707628,44,166846,46,800057,38,124630,44,117026,46,14303,26
Rural,933786,43,515688,43,498232,31,47133,13,920917,43,17917,6,10467,4,9913,18
Menores de 15 Años,187,0,0,0,0,0,187,0,187,0,0,0,0,0,0,0
De 15 - 29 Años,264150,12,125387,10,173721,11,33454,9,261861,12,11239,4,7311,3,5587,10
De 30 - 44 Años,630028,29,346982,29,470089,29,97699,27,629024,30,55407,20,46001,18,11930,22
De 45 - 59 Años,647662,30,381891,32,504234,32,133926,37,646762,30,80751,29,69460,28,18650,34
60 Años y mas,610800,28,353258,29,450938,28,95470,26,590334,28,135504,48,129224,51,18551,34
Hombre,1430773,66,814321,67,1021306,64,229927,64,1418239,67,161831,57,141206,56,31899,58
Mujer,722054,34,393196,33,577676,36,130808,36,709930,33,121070,43,110790,44,22820,42
Sin Nivel,341762,16,181047,15,169666,11,9825,3,338015,16,18584,7,16370,6,4108,8
Primaria,1214833,56,692093,57,876690,55,114239,32,1193920,56,100662,36,87264,35,22165,41
Secundaria,423102,20,229577,19,385915,24,115496,32,423102,20,88266,31,80830,32,14025,26
Superior,162406,8,99892,8,157764,10,118862,33,162406,8,74791,26,66935,27,14421,26
 No sabe  no responde ,10724,0,4909,0,8948,1,2312,1,10724,1,597,0,597,0,0,0
Quintil 1,422275,20,219201,18,170597,11,7615,2,414757,19,7317,3,6394,3,2463,5
Quintil 2,422657,20,226249,19,270682,17,19265,5,416875,20,15709,6,10909,4,7228,13
Quintil 3,422463,20,230189,19,352084,22,46987,13,420105,20,34679,12,29478,12,8407,15
Quintil 4,422093,20,243971,20,375607,23,91217,25,417548,20,70439,25,62927,25,11711,21
Quintil 5,422869,20,264913,22,395618,25,178913,50,418599,20,141653,50,129745,51,22669,41
No Declaran Ingresos,40470,2,22993,2,34394,2,16738,5,40284,2,13104,5,12544,5,2241,4
