Categorias,Total Numero,Total Porcentajes,Servicio publico Numero,Servicio publico Porcentajes,Servicio privado colectivo Numero,Servicio privado colectivo Porcentajes,Planta propia Numero,Planta propia Porcentajes,Energia solar Numero,Energia solar Porcentajes,Vela Numero,Vela Porcentajes,Candil o lampara de gas Numero,Candil o lampara de gas Porcentajes,Ocote Numero,Ocote Porcentajes,Otro Numero,Otro Porcentajes
Total Nacional,2128919,100,1873696,88,3945,0,4064,0,67539,3,52504,2,56682,3,38944,2,31544,1
Urbano,1206216,57,1190350,64,1267,32,0,0,458,1,9127,17,1422,3,524,1,3068,10
Distrito Central,253096,12,251883,13,0,0,0,0,0,0,747,1,0,0,0,0,467,1
San Pedro Sula,152610,7,152217,8,393,10,0,0,0,0,0,0,0,0,0,0,0,0
Resto Urbano,800509,38,786250,42,873,22,0,0,458,1,8381,16,1422,3,524,1,2601,8
Rural,922703,43,683346,36,2678,68,4064,100,67082,99,43377,83,55260,97,38420,99,28477,90
Sin Nivel,337540,16,254013,14,616,16,924,23,14100,21,15194,29,21463,38,17117,44,14114,45
Primaria,1201312,56,1042345,56,2191,56,3140,77,48698,72,34431,66,34296,61,21150,54,15060,48
Secundaria,417460,20,406818,22,744,19,0,0,4125,6,2571,5,924,2,369,1,1909,6
Superior,161882,8,160565,9,393,10,0,0,616,1,308,1,0,0,0,0,0,0
Ns / Nr,10724,1,9955,1,0,0,0,0,0,0,0,0,0,0,308,1,462,1
Hombre,1413485,66,1207825,64,3329,84,3756,92,53690,79,42331,81,43403,77,31433,81,27719,88
Mujer,715433,34,665871,36,616,16,308,8,13849,21,10173,19,13280,23,7512,19,3825,12
Quintil 1,412549,19,275439,15,1231,31,1231,30,36815,55,22424,43,31463,56,26014,67,17931,57
Quintil 2,418763,20,345809,18,1268,32,1077,27,16593,25,18074,34,16851,30,10468,27,8623,27
Quintil 3,418404,20,394259,21,0,0,677,17,9143,14,5486,10,4064,7,1847,5,2927,9
Quintil 4,419175,20,406013,22,744,19,616,15,2771,4,3956,8,3012,5,308,1,1755,6
Quintil 5,420304,20,413836,22,701,18,462,11,2217,3,1795,3,1293,2,0,0,0,0
No Declaran Ingresos,39724,2,38339,2,0,0,0,0,0,0,770,1,0,0,308,1,308,1
