Categorias,Total Numero,Total Porcentajes,Servicio publico Numero,Servicio publico Porcentajes,Servicio privado colectivo Numero,Servicio privado colectivo Porcentajes,Planta propia Numero,Planta propia Porcentajes,Energia solar Numero,Energia solar Porcentajes,Vela Numero,Vela Porcentajes,Candil o lampara de gas Numero,Candil o lampara de gas Porcentajes,Ocote Numero,Ocote Porcentajes,Otro Numero,Otro Porcentajes
Total Nacional,1913897,100,1674434,87,8133,0,7536,0,32185,2,54513,3,67668,4,56751,3,12677,1
Urbano,1085842,57,1068636,64,3587,44,894,12,745,2,8429,15,2011,3,894,2,646,5
Distrito Central,246943,13,244790,15,1077,13,0,0,0,0,556,1,521,1,0,0,0,0
San Pedro Sula,172811,9,171282,10,1132,14,0,0,0,0,199,0,0,0,0,0,199,2
Resto Urbano,666088,35,652565,39,1378,17,894,12,745,2,7674,14,1490,2,894,2,447,4
Rural,828055,43,605798,36,4546,56,6642,88,31440,98,46085,85,65656,97,55857,98,12032,95
Sin Nivel,296040,15,214895,13,1968,24,1769,23,6914,21,17539,32,20970,31,27030,48,4954,39
Primaria,1048812,55,898708,54,4676,57,4678,62,23891,74,35069,64,45163,67,28904,51,7723,61
Secundaria,412370,22,405864,24,1142,14,544,7,1380,4,1361,2,1262,2,817,1,0,0
Superior,146018,8,144854,9,347,4,544,7,0,0,272,0,0,0,0,0,0,0
Ns / Nr,10657,1,10113,1,0,0,0,0,0,0,272,0,272,0,0,0,0,0
Hombre,1276292,67,1091144,65,5517,68,6447,86,26578,83,39556,73,54491,81,42231,74,10328,81
Mujer,637605,33,583290,35,2616,32,1089,14,5607,17,14957,27,13177,19,14520,26,2349,19
Quintil 1,378316,20,251304,15,2504,31,1497,20,14481,45,28367,52,35661,53,38910,69,5592,44
Quintil 2,379730,20,317969,19,1782,22,1769,23,8602,27,13993,26,18376,27,12794,23,4445,35
Quintil 3,380975,20,351060,21,1623,20,2189,29,3974,12,8071,15,9010,13,3686,6,1361,11
Quintil 4,381788,20,368566,22,1677,21,817,11,2977,9,2994,5,3124,5,1361,2,272,2
Quintil 5,384025,20,376472,22,546,7,1264,17,2150,7,1089,2,1497,2,0,0,1007,8
No Declaran Ingresos,9063,0,9063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
