Institución;Solicitud;Estado actual;Fecha de creación;Fecha de vencimiento
Instituto de Prevision Militar (IPM);SOL-IPM-3-2015;Entregada en plazo;2 de Enero de 2015 a las 15:10;16 de Enero de 2015
Secretaria de Educacion;SOL-SDE-422-2015;Entregada fuera de plazo;2 de Enero de 2015 a las 16:40;16 de Enero de 2015
Secretaria de Educacion;SOL-SDE-423-2015;No respondida;2 de Enero de 2015 a las 23:58;16 de Enero de 2015
Instituto de Acceso a la Informacion Publica (IAIP);SOL-IAIP-40-2015;Entregada en plazo;3 de Enero de 2015 a las 09:09;16 de Enero de 2015
Secretaria de Educacion;SOL-SDE-424-2015;No respondida;3 de Enero de 2015 a las 13:17;16 de Enero de 2015
Presidencia de la Republica (Casa Presidencial);SOL-CP-30-2015;Entregada en plazo;3 de Enero de 2015 a las 20:33;16 de Enero de 2015
Secretaria de Educacion;SOL-SDE-425-2015;No respondida;4 de Enero de 2015 a las 14:33;16 de Enero de 2015
Secretaria de Agricultura y Ganaderia (SAG);SOL-SAG-32-2015;Entregada en plazo;5 de Enero de 2015 a las 09:29;19 de Enero de 2015
Comision Nacional de Energia (CNE);SOL-CNE-5-2015;No respondida;5 de Enero de 2015 a las 09:36;19 de Enero de 2015
Secretaria de Agricultura y Ganaderia (SAG);SOL-SAG-33-2015;Entregada en plazo;5 de Enero de 2015 a las 09:48;19 de Enero de 2015
Secretaria de Educacion;SOL-SDE-426-2015;No respondida;5 de Enero de 2015 a las 09:52;19 de Enero de 2015
Cuerpo de Bomberos;SOL-CB-2-2015;Entregada fuera de plazo;5 de Enero de 2015 a las 10:18;19 de Enero de 2015
Secretaria de Educacion;SOL-SDE-427-2015;Entregada fuera de plazo;5 de Enero de 2015 a las 10:44;19 de Enero de 2015
Direccion de Ciencia y Tecnologia Agropecuaria (DICTA);SOL-DICTA-5-2015;Entregada fuera de plazo;5 de Enero de 2015 a las 10:53;19 de Enero de 2015
Universidad Nacional de Agricultura (UNA);SOL-UNA-2-2015;No respondida;5 de Enero de 2015 a las 10:55;19 de Enero de 2015
Universidad Nacional Autonoma de Honduras (UNAH);SOL-UNAH-65-2015;Entregada en plazo;5 de Enero de 2015 a las 10:57;5 de Febrero de 2015
Universidad Nacional de Agricultura (UNA);SOL-UNA-3-2015;No respondida;5 de Enero de 2015 a las 10:59;19 de Enero de 2015
Direccion de Ciencia y Tecnologia Agropecuaria (DICTA);SOL-DICTA-6-2015;Entregada fuera de plazo;5 de Enero de 2015 a las 11:02;19 de Enero de 2015
Empresa Nacional de Energia Electrica (ENEE);SOL-ENEE-9-2015;Entregada fuera de plazo;5 de Enero de 2015 a las 11:03;19 de Enero de 2015
Escuela Nacional de Ciencias Forestales (ESNACIFOR);SOL-ESNACIFOR-2-2015;No respondida;5 de Enero de 2015 a las 11:05;19 de Enero de 2015
Instituto Hondureno de Geologia y Minas (INHGEOMIN);SOL-INHGEOMIN-2-2015;No respondida;5 de Enero de 2015 a las 11:08;19 de Enero de 2015
Instituto Nacional Agrario (INA);SOL-INA-19-2015;Entregada fuera de plazo;5 de Enero de 2015 a las 11:10;2 de Febrero de 2015
Instituto Nacional de Estadistica (INE);SOL-INE-7-2015;Entregada fuera de plazo;5 de Enero de 2015 a las 11:10;19 de Enero de 2015
Programa Nacional de Desarrollo Rural y Urbano Sostenible(PRONADERS);SOL-PRONADERS-4-2015;No respondida;5 de Enero de 2015 a las 11:11;19 de Enero de 2015
Servicio Autonomo Nacional de Acueductos y Alcantarillados (SANAA);SOL-SANAA-9-2015;Entregada en plazo;5 de Enero de 2015 a las 11:13;19 de Enero de 2015
Secretaria de Recursos Naturales y Ambiente (MiAmbiente+);SOL-SERNA-6-2015;No respondida;5 de Enero de 2015 a las 11:14;19 de Enero de 2015
Secretaria de Agricultura y Ganaderia (SAG);SOL-SAG-34-2015;Entregada en plazo;5 de Enero de 2015 a las 11:16;19 de Enero de 2015
Procuraduria del Ambiente y Recursos Naturales (PARN);SOL-PARN-2-2015;No respondida;5 de Enero de 2015 a las 11:17;19 de Enero de 2015
Secretaria de Educacion;SOL-SDE-428-2015;Entregada fuera de plazo;5 de Enero de 2015 a las 13:40;19 de Enero de 2015
Secretaria de Educacion;SOL-SDE-429-2015;Entregada fuera de plazo;5 de Enero de 2015 a las 14:25;19 de Enero de 2015
Secretaria de Relaciones Exteriores (SRE);SOL-SRE-29-2015;Entregada en plazo;5 de Enero de 2015 a las 14:55;19 de Enero de 2015
Secretaria de Educacion;SOL-SDE-430-2015;Entregada fuera de plazo;5 de Enero de 2015 a las 16:43;19 de Enero de 2015
Secretaria de Educacion;SOL-SDE-431-2015;Entregada fuera de plazo;6 de Enero de 2015 a las 12:19;20 de Enero de 2015
Poder Judicial(PJ);SOL-PJ-111-2015;Entregada en plazo;6 de Enero de 2015 a las 13:38;4 de Febrero de 2015
Universidad Pedagogica Nacional Francisco Morazan (UPNFM);SOL-UPNFM-39-2015;Entregada fuera de plazo;6 de Enero de 2015 a las 13:47;20 de Enero de 2015
Instituto Hondureno de Geologia y Minas (INHGEOMIN);SOL-INHGEOMIN-3-2015;No respondida;6 de Enero de 2015 a las 15:47;20 de Enero de 2015
Direccion Ejecutiva de Ingresos (DEI);SOL-DEI-26-2015;Entregada en plazo;6 de Enero de 2015 a las 15:53;3 de Febrero de 2015
Secretaria de Educacion;SOL-SDE-432-2015;Entregada en plazo;6 de Enero de 2015 a las 20:35;20 de Enero de 2015
Fondo Hondureno de Inversion Social (FHIS);SOL-FHIS-4-2015;Entregada fuera de plazo;7 de Enero de 2015 a las 07:42;21 de Enero de 2015
Secretario de Infraestructura y Servicios Publicos (INSEP);SOL-INSEP-4-2015;Entregada fuera de plazo;7 de Enero de 2015 a las 07:46;21 de Enero de 2015
Secretaria de Desarrollo Economico;SOL-SCDSEC-93-2015;Entregada en plazo;7 de Enero de 2015 a las 09:48;21 de Enero de 2015
Secretaria de Desarrollo Economico;SOL-SCDSEC-94-2015;Entregada fuera de plazo;7 de Enero de 2015 a las 09:52;21 de Enero de 2015
Secretaria de Seguridad;SOL-SSSS-7-2015;Entregada en plazo;7 de Enero de 2015 a las 10:24;21 de Enero de 2015
Secretaria de Educacion;SOL-SDE-433-2015;Entregada fuera de plazo;7 de Enero de 2015 a las 10:31;21 de Enero de 2015
