categorias, Población total Numero, Población total Porcentajes,Total acceso Numero,Total acceso Porcentajes,Al menos una vez por día Numero,Al menos una vez por día Porcentajes,Al menos 1 vez por semana pero no todos los días Numero,Al menos 1 vez por semana pero no todos los días Porcentajes,Al menos 1 vez por mes pero no todas las semanas Numero,Al menos 1 vez por mes pero no todas las semanas Porcentajes,Menos de una vez por mes Numero,Menos de una vez por mes Porcentajes,En Casa Numero,En Casa Porcentajes,Cyber-café o negocio de internet Numero,Cyber-café o negocio de internet Porcentajes,En su trabajo Numero,En su trabajo Porcentajes,En la escuela  colegio o universidad Numero,En la escuela  colegio o universidad Porcentajes,Casa de un familiar / amigo Numero,Casa de un familiar / amigo Porcentajes,Restaurante o local con red inalambrica Numero,Restaurante o local con red inalambrica Porcentajes,Celular Numero,Celular Porcentajes,Red publica (parque u otro lugar) Numero,Red publica (parque u otro lugar)Porcentajes,Otro Numero,Otro Porcentajes
Total Nacional,7782918,100,2298157,30,1417064,62,711826,31,151476,7,17792,1,2001390,87,316880,14,457233,20,368711,16,395534,17,305949,13,1642729,71,189349,8,8535,0
Urbano,4257860,55,1802661,78,1180433,83,514887,72,97673,64,9669,54,1586148,79,242473,77,388813,85,310410,84,312862,79,260467,85,1265801,77,145329,77,6006,70
Distrito Central,1127378,14,594644,26,434108,31,138539,19,20018,13,1979,11,520839,26,71764,23,148022,32,120561,33,109862,28,110604,36,379249,23,44778,24,2103,25
San Pedro Sula,652996,8,321394,14,230214,16,73129,10,15704,10,2346,13,296016,15,34208,11,82124,18,49521,13,51662,13,36431,12,242892,15,7842,4,617,7
Resto Urbano,2477486,32,886624,39,516111,36,303219,43,61951,41,5343,30,769293,38,136501,43,158667,35,140328,38,151339,38,113432,37,643659,39,92709,49,3285,38
Rural,3525058,45,495496,22,236631,17,196939,28,53803,36,8124,46,415242,21,74407,23,68420,15,58300,16,82672,21,45482,15,376928,23,44020,23,2530,30
Menores de 15,1833518,24,301229,13,138241,10,140987,20,20821,14,1181,7,218126,11,77555,24,1394,0,70698,19,37512,9,11013,4,111366,7,9483,5,923,11
De 15 a 29,2570742,33,1250428,54,769993,54,386639,54,83275,55,10520,59,1094276,55,190257,60,177928,39,259960,71,256023,65,183988,60,982886,60,129464,68,5921,69
De 30 a 44,1534140,20,491755,21,322523,23,132786,19,32181,21,4265,24,449665,22,36096,11,185126,40,29347,8,73691,19,77052,25,379934,23,37396,20,1258,15
De 45 a 59,1028176,13,202435,9,147650,10,41264,6,12055,8,1466,8,188601,9,12354,4,80921,18,7469,2,24092,6,27927,9,136646,8,11820,6,433,5
De 60  o más,816341,10,52310,2,38656,3,10149,1,3143,2,361,2,50722,3,618,0,11864,3,1237,0,4217,1,5969,2,31896,2,1186,1,0,0
Hombre,3665221,47,1052655,46,666519,47,316839,45,61191,40,8106,46,916599,46,142178,45,264048,58,167229,45,200273,51,149081,49,740708,45,94499,50,5042,59
Mujer,4117697,53,1245502,54,750544,53,394987,55,90285,60,9686,54,1084790,54,174702,55,193185,42,201482,55,195261,49,156868,51,902020,55,94851,50,3494,41
Sin Nivel,823141,11,12438,1,6590,0,5642,1,206,0,0,0,11517,1,487,0,639,0,542,0,206,0,0,0,7937,0,0,0,0,0
Primaria,4349436,56,614077,27,269781,19,272457,38,65005,43,6833,38,509865,25,80346,25,49064,11,69937,19,78488,20,51116,17,425444,26,42924,23,2244,26
Secundaria,1940401,25,1086071,47,637920,45,363420,51,74380,49,10351,58,942130,47,164336,52,190020,42,122648,33,184383,47,129479,42,837365,51,95673,51,3302,39
Superior,641193,8,579985,25,499939,35,68041,10,11397,8,608,3,533038,27,71170,22,215877,47,175043,47,131971,33,125354,41,367144,22,50471,27,2990,35
 No sabe  no responde ,28748,0,5587,0,2834,0,2265,0,487,0,0,0,4839,0,542,0,1633,0,542,0,487,0,0,0,4839,0,281,0,0,0
Quintil 1,1682667,22,131028,6,39025,3,66691,9,23489,16,1823,10,97249,5,23844,8,8760,2,20939,6,19182,5,10689,3,98182,6,18169,10,412,5
Quintil 2,1649156,21,264060,11,102228,7,124927,18,34282,23,2623,15,208292,10,58099,18,14639,3,35370,10,33611,8,17798,6,196403,12,19181,10,1134,13
Quintil 3,1597527,21,433443,19,207305,15,180659,25,38953,26,6526,37,353947,18,77539,24,52527,11,62361,17,79544,20,41495,14,324167,20,32981,17,1919,22
Quintil 4,1492748,19,613061,27,379785,27,192626,27,35797,24,4852,27,542901,27,81775,26,108493,24,89333,24,106919,27,82958,27,455446,28,54657,29,1745,20
Quintil 5,1327812,17,842222,37,676606,48,144692,20,18955,13,1969,11,787040,39,75135,24,269419,59,158768,43,155434,39,150305,49,560473,34,63719,34,3326,39
No Declaran Ingresos,33007,0,14344,1,12114,1,2230,0,0,0,0,0,11960,1,487,0,3395,1,1938,1,846,0,2704,1,8057,0,642,0,0,0
