"Ano","Mes","Descripcion","Importe"
"2019","8","INGRESOS TOTALES","73488.14"
"2019","8","INGRESOS CORRIENTES","71794.56"
"2019","8","TRIBUTARIOS","68399.66"
"2019","8","DIRECTOS","21527.6"
"2019","8","RENTA","19470.14"
"2019","8","APORTE SOLIDARIO TEMPORAL","1442.72"
"2019","8","PROPIEDAD","283.89"
"2019","8","IMPUESTO AL ACTIVO NETO","330.85"
"2019","8","REVALUACIoN DE ACTIVOS","0"
"2019","8","INDIRECTOS","42302.16"
"2019","8","PRODUCCIoN","30963.97"
"2019","8","VENTAS","28270.01"
"2019","8","OTROS","2693.96"
"2019","8","SERVICIOS Y ACTIVIDADES ESPECIFICAS","11338.19"
"2019","8","APORTE VIAL Y GASTO SOCIAL","9425.7"
"2019","8","OTROS","1912.49"
"2019","8","COMERCIO EXTERIOR","2738.31"
"2019","8","IMPORTACIONES","2738.31"
"2019","8","EXPORTACIONES","0"
"2019","8","VARIOS","12.77"
"2019","8","TASA DE SEGURIDAD","1818.82"
"2019","8","ING. NO TRIBUTARIOS","3394.9"
"2019","8","TRANSFERENCIAS SECTOR  PuBLICO","100"
"2019","8","OTROS INGRESOS NO TRIBUTARIOS","3294.9"
"2019","7","INGRESOS TOTALES","65765.02"
"2019","7","INGRESOS CORRIENTES","64148.53"
"2019","7","TRIBUTARIOS","61067.05"
"2019","7","DIRECTOS","20297.92"
"2019","7","RENTA","18290.49"
"2019","7","APORTE SOLIDARIO TEMPORAL","1431.05"
"2019","7","PROPIEDAD","247.55"
"2019","7","IMPUESTO AL ACTIVO NETO","328.84"
"2019","7","REVALUACIoN DE ACTIVOS","0"
"2019","7","INDIRECTOS","36783.93"
"2019","7","PRODUCCIoN","27081.7"
"2019","7","VENTAS","24738.19"
"2019","7","OTROS","2343.51"
"2019","7","SERVICIOS Y ACTIVIDADES ESPECIFICAS","9702.23"
"2019","7","APORTE VIAL Y GASTO SOCIAL","8226.38"
"2019","7","OTROS","1475.85"
"2019","7","COMERCIO EXTERIOR","2379.25"
"2019","7","IMPORTACIONES","2379.25"
"2019","7","EXPORTACIONES","0"
"2019","7","VARIOS","11.15"
"2019","7","TASA DE SEGURIDAD","1594.79"
"2019","7","ING. NO TRIBUTARIOS","3081.48"
