"Ano","Mes","Descripcion","Importe"
"2016","12","INGRESOS TOTALES","99388.59"
"2016","12","Ingresos Corrientes","95637.19"
"2016","12","Donaciones HIPC","2050.67"
"2016","12","Donaciones","1700.73"
"2016","12","Ingresos de Capital","0"
"2016","12","GASTO CORRIENTE","88132.21"
"2016","12","Gasto de Consumo","53331.55"
"2016","12","Sueldos y salarios","35403.06"
"2016","12","Aportes Patronales","4304.82"
"2016","12","Bienes y servicios","13623.67"
"2016","12","Comisiones","1091.31"
"2016","12","Internos","757.6"
"2016","12","Externos","333.71"
"2016","12","Intereses Deuda","11875.08"
"2016","12","Internos","7545.81"
"2016","12","Externos","4329.28"
"2016","12","Transferencias","21834.26"
"2016","12","AHORRO EN CUENTA CORRIENTE","7504.98"
"2016","12","Gasto de Capital","24849.71"
"2016","12","Inversion","9853.02"
"2016","12","Transferencias","14996.7"
"2016","12","TOTAL GASTOS NETOS","112981.93"
"2016","12","BALANCE","-13593.34"
"2016","12","FINANCIAMIENTO","13593.31"
"2016","12","CReDITO EXTERNO NETO","3585.04"
"2016","12","Desembolsos","7494.71"
"2016","12","Amortizacion","-3930.8"
"2016","12","Transferencias Externas","220.7"
"2016","12","Bono Cupon Cero","-199.56"
"2016","12","CReDITO INTERNO NETO","10008.27"
"2016","12","Utilizacion","21605.49"
"2016","12","Amortizacion","-10266.66"
"2016","12","Otro Financiamientos","-2589.56"
"2016","12","Concesion Neta","70.33"
"2016","12","Flujo de Cuentas Por Pagar","-3302.99"
"2016","12","Flujo de Depositos","4491.66"
"2016","12","PRODUCTO INTERNO BRUTO","495921.9"
"2016","12","BALANCE GLOBAL NETO / PIB (%)","-2.74"
"2016","11","INGRESOS TOTALES","88003.66"
"2016","11","Ingresos Corrientes","85120"
"2016","11","Donaciones HIPC","1732.32"
"2016","11","Donaciones","1151.33"
"2016","11","Ingresos de Capital","0"
"2016","11","GASTO CORRIENTE","75427.1"
"2016","11","Gasto de Consumo","45723.1"
"2016","11","Sueldos y salarios","30457.46"
"2016","11","Aportes Patronales","3685.02"
"2016","11","Bienes y servicios","11580.63"
"2016","11","Comisiones","992.65"
"2016","11","Internos","692.49"
"2016","11","Externos","300.16"
"2016","11","Intereses Deuda","10417.46"
"2016","11","Internos","6939.22"
"2016","11","Externos","3478.24"
"2016","11","Transferencias","18293.89"
"2016","11","AHORRO EN CUENTA CORRIENTE","9692.9"
"2016","11","Gasto de Capital","20785.84"
"2016","11","Inversion","9435.19"
"2016","11","Transferencias","11350.64"
"2016","11","TOTAL GASTOS NETOS","96212.94"
"2016","11","BALANCE","-8209.28"
"2016","11","FINANCIAMIENTO","8209.32"
"2016","11","CReDITO EXTERNO NETO","1450.08"
"2016","11","Desembolsos","5021.75"
"2016","11","Amortizacion","-3530.8"
"2016","11","Transferencias Externas","158.7"
"2016","11","Bono Cupon Cero","-199.56"
"2016","11","CReDITO INTERNO NETO","6759.23"
"2016","11","Utilizacion","11154.05"
"2016","11","Amortizacion","-7258.43"
"2016","11","Otro Financiamientos","1795.98"
"2016","11","Concesion Neta","0"
"2016","11","Flujo de Cuentas Por Pagar","-1351.46"
"2016","11","Flujo de Depositos","2419.1"
"2016","11","PRODUCTO INTERNO BRUTO","495921.9"
"2016","11","BALANCE GLOBAL NETO / PIB (%)","-1.66"
"2016","10","INGRESOS TOTALES","80410.65"
"2016","10","Ingresos Corrientes","77896.28"
"2016","10","Donaciones HIPC","1570"
"2016","10","Donaciones","944.36"
"2016","10","Ingresos de Capital","0"
"2016","10","GASTO CORRIENTE","67877.89"
"2016","10","Gasto de Consumo","40829.07"
"2016","10","Sueldos y salarios","27277.46"
"2016","10","Aportes Patronales","3270.85"
"2016","10","Bienes y servicios","10280.77"
"2016","10","Comisiones","899.32"
"2016","10","Internos","627.65"
"2016","10","Externos","271.67"
"2016","10","Intereses Deuda","9526.09"
"2016","10","Internos","6408.54"
"2016","10","Externos","3117.56"
"2016","10","Transferencias","16623.4"
"2016","10","AHORRO EN CUENTA CORRIENTE","10018.39"
"2016","10","Gasto de Capital","18384.6"
"2016","10","Inversion","8265.02"
"2016","10","Transferencias","10119.57"
"2016","10","TOTAL GASTOS NETOS","86262.49"
"2016","10","BALANCE","-5851.84"
"2016","10","FINANCIAMIENTO","5851.84"
"2016","10","CReDITO EXTERNO NETO","1535.37"
"2016","10","Desembolsos","4427.93"
"2016","10","Amortizacion","-2804.9"
"2016","10","Transferencias Externas","111.9"
"2016","10","Bono Cupon Cero","-199.56"
"2016","10","CReDITO INTERNO NETO","4316.47"
"2016","10","Utilizacion","10951.46"
"2016","10","Amortizacion","-7250.84"
"2016","10","Otro Financiamientos","1046.29"
"2016","10","Concesion Neta","0"
"2016","10","Flujo de Cuentas Por Pagar","-973"
"2016","10","Flujo de Depositos","542.58"
"2016","10","PRODUCTO INTERNO BRUTO","495921.9"
"2016","10","BALANCE GLOBAL NETO / PIB (%)","-1.18"
"2016","9","INGRESOS TOTALES","73793.41"
"2016","9","Ingresos Corrientes","71510.77"
"2016","9","Donaciones HIPC","1407.13"
"2016","9","Donaciones","875.51"
"2016","9","Ingresos de Capital","0"
"2016","9","GASTO CORRIENTE","61792.5"
"2016","9","Gasto de Consumo","36843.08"
"2016","9","Sueldos y salarios","24705.83"
"2016","9","Aportes Patronales","2985.11"
"2016","9","Bienes y servicios","9152.14"
"2016","9","Comisiones","806.47"
"2016","9","Internos","563.61"
"2016","9","Externos","242.86"
"2016","9","Intereses Deuda","9113.26"
"2016","9","Internos","6099.78"
"2016","9","Externos","3013.47"
"2016","9","Transferencias","15029.7"
"2016","9","AHORRO EN CUENTA CORRIENTE","9718.27"
"2016","9","Gasto de Capital","16159.2"
"2016","9","Inversion","6993.11"
"2016","9","Transferencias","9166.08"
"2016","9","TOTAL GASTOS NETOS","77951.7"
"2016","9","BALANCE","-4158.29"
"2016","9","FINANCIAMIENTO","4158.3"
"2016","9","CReDITO EXTERNO NETO","1171.3"
"2016","9","Desembolsos","3870.6"
"2016","9","Amortizacion","-2611.2"
"2016","9","Transferencias Externas","111.5"
"2016","9","Bono Cupon Cero","-199.6"
"2016","9","CReDITO INTERNO NETO","2987"
"2016","9","Utilizacion","10306.3"
"2016","9","Amortizacion","-7250.7"
"2016","9","Otro Financiamientos","1261.4"
"2016","9","Concesion Neta","0"
"2016","9","Flujo de Cuentas Por Pagar","-432.7"
"2016","9","Flujo de Depositos","-897.3"
"2016","9","PRODUCTO INTERNO BRUTO","495921.9"
"2016","9","BALANCE GLOBAL NETO / PIB (%)","-.84"
"2016","8","INGRESOS TOTALES","63184.4"
"2016","8","Ingresos Corrientes","61167.44"
"2016","8","Donaciones HIPC","1256.06"
"2016","8","Donaciones","760.9"
"2016","8","Ingresos de Capital","0"
"2016","8","GASTO CORRIENTE","53144.32"
"2016","8","Gasto de Consumo","32657.76"
"2016","8","Sueldos y salarios","22226.73"
"2016","8","Aportes Patronales","2587.62"
"2016","8","Bienes y servicios","7843.41"
"2016","8","Comisiones","711.51"
"2016","8","Internos","499.26"
"2016","8","Externos","212.25"
"2016","8","Intereses Deuda","7404.7"
"2016","8","Internos","4998.6"
"2016","8","Externos","2406.1"
"2016","8","Transferencias","12370.35"
"2016","8","AHORRO EN CUENTA CORRIENTE","8023.12"
"2016","8","Gasto de Capital","13879.52"
"2016","8","Inversion","5843.13"
"2016","8","Transferencias","8036.39"
"2016","8","TOTAL GASTOS NETOS","67023.84"
"2016","8","BALANCE","-3839.44"
"2016","8","FINANCIAMIENTO","3839.44"
"2016","8","CReDITO EXTERNO NETO","358.66"
"2016","8","Desembolsos","2641.21"
"2016","8","Amortizacion","-2327.3"
"2016","8","Transferencias Externas","142.2"
"2016","8","Bono Cupon Cero","-97.45"
"2016","8","CReDITO INTERNO NETO","3480.78"
"2016","8","Utilizacion","9311.82"
"2016","8","Amortizacion","-6123.12"
"2016","8","Otro Financiamientos","771.99"
"2016","8","Concesion Neta","0"
"2016","8","Flujo de Cuentas Por Pagar","-840.16"
"2016","8","Flujo de Depositos","360.25"
"2016","8","PRODUCTO INTERNO BRUTO","495921.9"
"2016","8","BALANCE GLOBAL NETO / PIB (%)","-.77"
"2016","7","INGRESOS TOTALES","56043.86"
"2016","7","Ingresos Corrientes","54221.35"
"2016","7","Donaciones HIPC","1093.7"
"2016","7","Donaciones","728.82"
"2016","7","Ingresos de Capital","0"
"2016","7","GASTO CORRIENTE","46234.39"
"2016","7","Gasto de Consumo","28876.28"
"2016","7","Sueldos y salarios","19688.78"
"2016","7","Aportes Patronales","2291.96"
"2016","7","Bienes y servicios","6895.54"
"2016","7","Comisiones","602.03"
"2016","7","Internos","433.55"
"2016","7","Externos","168.48"
"2016","7","Intereses Deuda","6565.58"
"2016","7","Internos","4330.87"
"2016","7","Externos","2234.71"
"2016","7","Transferencias","10190.5"
"2016","7","AHORRO EN CUENTA CORRIENTE","7986.95"
"2016","7","Gasto de Capital","11908.35"
"2016","7","Inversion","5001.33"
"2016","7","Transferencias","6907.02"
"2016","7","TOTAL GASTOS NETOS","58142.74"
"2016","7","BALANCE","-2098.88"
